paradigm,feature_name,icc3_1,icc3_1_ci_lo,icc3_1_ci_hi,stratum_from_icc2_1
radiomics-3d,original_shape_Elongation,0.780679753365015,0.75,0.81,good
radiomics-3d,original_shape_Flatness,0.7818697749967142,0.75,0.81,good
radiomics-3d,original_shape_LeastAxisLength,0.974632224340028,0.97,0.98,good
radiomics-3d,original_shape_MajorAxisLength,0.9703520969598498,0.97,0.97,excellent
radiomics-3d,original_shape_Maximum2DDiameterColumn,0.9609588604803913,0.95,0.97,good
radiomics-3d,original_shape_Maximum2DDiameterRow,0.9709843959140882,0.97,0.98,excellent
radiomics-3d,original_shape_Maximum2DDiameterSlice,0.9745331239519232,0.97,0.98,excellent
radiomics-3d,original_shape_Maximum3DDiameter,0.9714439994996809,0.97,0.98,excellent
radiomics-3d,original_shape_MeshVolume,0.8922953892713189,0.88,0.91,good
radiomics-3d,original_shape_MinorAxisLength,0.973253188482894,0.97,0.98,excellent
radiomics-3d,original_shape_Sphericity,0.8695614687777689,0.85,0.89,good
radiomics-3d,original_shape_SurfaceArea,0.949761949728252,0.94,0.96,excellent
radiomics-3d,original_shape_SurfaceVolumeRatio,0.8832262302137862,0.87,0.9,moderate
radiomics-3d,original_shape_VoxelVolume,0.8929843538708231,0.88,0.91,good
radiomics-3d,original_firstorder_10Percentile,0.984389609886255,0.98,0.99,excellent
radiomics-3d,original_firstorder_90Percentile,0.9872581625473394,0.99,0.99,excellent
radiomics-3d,original_firstorder_Energy,0.8716485772921361,0.85,0.89,good
radiomics-3d,original_firstorder_Entropy,0.9747751435830376,0.97,0.98,excellent
radiomics-3d,original_firstorder_InterquartileRange,0.954582567443118,0.95,0.96,excellent
radiomics-3d,original_firstorder_Kurtosis,0.6022684435560076,0.56,0.64,moderate
radiomics-3d,original_firstorder_Maximum,0.9541458682218842,0.95,0.96,excellent
radiomics-3d,original_firstorder_MeanAbsoluteDeviation,0.9689174513475544,0.96,0.97,excellent
radiomics-3d,original_firstorder_Mean,0.9960751183939648,1.0,1.0,excellent
radiomics-3d,original_firstorder_Median,0.9923197504154652,0.99,0.99,excellent
radiomics-3d,original_firstorder_Minimum,0.9780070701520688,0.97,0.98,excellent
radiomics-3d,original_firstorder_Range,0.9452671391364684,0.94,0.95,excellent
radiomics-3d,original_firstorder_RobustMeanAbsoluteDeviation,0.9627314296663072,0.96,0.97,excellent
radiomics-3d,original_firstorder_RootMeanSquared,0.994686484637448,0.99,1.0,excellent
radiomics-3d,original_firstorder_Skewness,0.8323867510235725,0.81,0.85,good
radiomics-3d,original_firstorder_TotalEnergy,0.871638519482704,0.85,0.89,good
radiomics-3d,original_firstorder_Uniformity,0.9705927785533386,0.97,0.97,excellent
radiomics-3d,original_firstorder_Variance,0.9646646968440952,0.96,0.97,excellent
radiomics-3d,original_glcm_Autocorrelation,0.940932078746868,0.93,0.95,excellent
radiomics-3d,original_glcm_ClusterProminence,0.8961657768021339,0.88,0.91,good
radiomics-3d,original_glcm_ClusterShade,0.8896437534175641,0.87,0.9,good
radiomics-3d,original_glcm_ClusterTendency,0.9597508682085004,0.95,0.97,excellent
radiomics-3d,original_glcm_Contrast,0.972337234599742,0.97,0.98,excellent
radiomics-3d,original_glcm_Correlation,0.9345118854399446,0.92,0.94,excellent
radiomics-3d,original_glcm_DifferenceAverage,0.9742384647678364,0.97,0.98,excellent
radiomics-3d,original_glcm_DifferenceEntropy,0.974797160159048,0.97,0.98,excellent
radiomics-3d,original_glcm_DifferenceVariance,0.9583508726365336,0.95,0.96,excellent
radiomics-3d,original_glcm_Id,0.9805468980711008,0.98,0.98,excellent
radiomics-3d,original_glcm_Idm,0.9807840472027768,0.98,0.98,excellent
radiomics-3d,original_glcm_Idmn,0.846220185123834,0.83,0.87,good
radiomics-3d,original_glcm_Idn,0.8990147234748355,0.88,0.91,good
radiomics-3d,original_glcm_Imc1,0.8758677688482982,0.86,0.89,good
radiomics-3d,original_glcm_Imc2,0.9143727156030496,0.9,0.93,excellent
radiomics-3d,original_glcm_InverseVariance,0.9618313975179728,0.96,0.97,excellent
radiomics-3d,original_glcm_JointAverage,0.9395528104401856,0.93,0.95,excellent
radiomics-3d,original_glcm_JointEnergy,0.9625362367392498,0.96,0.97,excellent
radiomics-3d,original_glcm_JointEntropy,0.9711540689883944,0.97,0.98,excellent
radiomics-3d,original_glcm_MCC,0.8862011006627369,0.87,0.9,good
radiomics-3d,original_glcm_MaximumProbability,0.9658775692454666,0.96,0.97,excellent
radiomics-3d,original_glcm_SumAverage,0.9395528104401858,0.93,0.95,excellent
radiomics-3d,original_glcm_SumEntropy,0.9663907491476404,0.96,0.97,excellent
radiomics-3d,original_glcm_SumSquares,0.963014410484458,0.96,0.97,excellent
radiomics-3d,original_gldm_DependenceEntropy,0.9328653009648642,0.92,0.94,good
