paradigm,stratum,n_total,n_malignant,auc,auc_ci_lo,auc_ci_hi
radiomics-3d,6-10mm,134,8,0.761904761904762,0.5348130902241871,0.9166957364341086
radiomics-3d,10-20mm,99,73,0.8893572181243414,0.8050583304823812,0.960462715988868
radiomics-3d,>20mm,76,73,,,
radiomics-2d,6-10mm,134,8,0.7738095238095238,0.63798828125,0.8958333333333333
radiomics-2d,10-20mm,99,73,0.8440463645943098,0.7374006888738008,0.9340543510543511
radiomics-2d,>20mm,76,73,,,
biomedclip,6-10mm,134,8,0.7579365079365079,0.6106861642294713,0.8989279158128416
biomedclip,10-20mm,99,73,0.7939936775553215,0.6971675111692274,0.8840927828513445
biomedclip,>20mm,77,74,,,
radimagenet,6-10mm,134,8,0.4375,0.2542174606151537,0.6186344730164544
radimagenet,10-20mm,99,73,0.6770284510010539,0.5652085781433607,0.7927348772621711
radimagenet,>20mm,77,74,,,
