icc,ci_lo,ci_hi,icc3_consistency,icc3_ci_lo,icc3_ci_hi,paradigm,feature_name,stratum
0.7754288510212614,0.75,0.8,0.780679753365015,0.75,0.81,radiomics-3d,original_shape_Elongation,good
0.778441428093948,0.75,0.81,0.7818697749967142,0.75,0.81,radiomics-3d,original_shape_Flatness,good
0.8980263888956713,0.79,0.94,0.9746322243400279,0.97,0.98,radiomics-3d,original_shape_LeastAxisLength,good
0.9047154416477747,0.81,0.94,0.9703520969598498,0.97,0.97,radiomics-3d,original_shape_MajorAxisLength,excellent
0.8904926892212018,0.79,0.93,0.9609588604803911,0.95,0.97,radiomics-3d,original_shape_Maximum2DDiameterColumn,good
0.9035257929596581,0.81,0.94,0.9709843959140882,0.97,0.98,radiomics-3d,original_shape_Maximum2DDiameterRow,excellent
0.9542569139483186,0.93,0.97,0.9745331239519233,0.97,0.98,radiomics-3d,original_shape_Maximum2DDiameterSlice,excellent
0.9230906338025351,0.85,0.95,0.9714439994996807,0.97,0.98,radiomics-3d,original_shape_Maximum3DDiameter,excellent
0.83010638230154,0.76,0.88,0.8922953892713189,0.88,0.91,radiomics-3d,original_shape_MeshVolume,good
0.910032574523878,0.82,0.95,0.9732531884828939,0.97,0.98,radiomics-3d,original_shape_MinorAxisLength,excellent
0.7861047124803459,0.69,0.85,0.8695614687777689,0.85,0.89,radiomics-3d,original_shape_Sphericity,good
0.9080492977986472,0.85,0.94,0.949761949728252,0.94,0.96,radiomics-3d,original_shape_SurfaceArea,excellent
0.7316497469888048,0.57,0.82,0.8832262302137862,0.87,0.9,radiomics-3d,original_shape_SurfaceVolumeRatio,moderate
0.8309716297274508,0.76,0.88,0.8929843538708231,0.88,0.91,radiomics-3d,original_shape_VoxelVolume,good
0.9835261805374328,0.98,0.99,0.984389609886255,0.98,0.99,radiomics-3d,original_firstorder_10Percentile,excellent
0.986740388142556,0.98,0.99,0.9872581625473394,0.99,0.99,radiomics-3d,original_firstorder_90Percentile,excellent
0.8411948991183422,0.8,0.87,0.8716485772921361,0.85,0.89,radiomics-3d,original_firstorder_Energy,good
0.9668378331039565,0.96,0.97,0.9747751435830376,0.97,0.98,radiomics-3d,original_firstorder_Entropy,excellent
0.9530757473038496,0.95,0.96,0.9545825674431181,0.95,0.96,radiomics-3d,original_firstorder_InterquartileRange,excellent
0.6012518547426949,0.56,0.64,0.6022684435560076,0.56,0.64,radiomics-3d,original_firstorder_Kurtosis,moderate
0.9434148125793369,0.93,0.95,0.9541458682218842,0.95,0.96,radiomics-3d,original_firstorder_Maximum,excellent
0.9638671010713958,0.96,0.97,0.9689174513475545,0.96,0.97,radiomics-3d,original_firstorder_MeanAbsoluteDeviation,excellent
0.9960684547885111,1.0,1.0,0.9960751183939647,1.0,1.0,radiomics-3d,original_firstorder_Mean,excellent
0.9922303236464395,0.99,0.99,0.9923197504154652,0.99,0.99,radiomics-3d,original_firstorder_Median,excellent
0.9758699242896145,0.97,0.98,0.9780070701520687,0.97,0.98,radiomics-3d,original_firstorder_Minimum,excellent
0.9277073290374674,0.91,0.94,0.9452671391364685,0.94,0.95,radiomics-3d,original_firstorder_Range,excellent
0.9600979130396378,0.95,0.97,0.9627314296663071,0.96,0.97,radiomics-3d,original_firstorder_RobustMeanAbsoluteDeviation,excellent
0.9944822966607426,0.99,1.0,0.9946864846374481,0.99,1.0,radiomics-3d,original_firstorder_RootMeanSquared,excellent
0.829107381858573,0.81,0.85,0.8323867510235725,0.81,0.85,radiomics-3d,original_firstorder_Skewness,good
0.8411934888646984,0.8,0.87,0.871638519482704,0.85,0.89,radiomics-3d,original_firstorder_TotalEnergy,good
0.9648751448324828,0.96,0.97,0.9705927785533386,0.97,0.97,radiomics-3d,original_firstorder_Uniformity,excellent
0.9600797681827772,0.95,0.97,0.9646646968440953,0.96,0.97,radiomics-3d,original_firstorder_Variance,excellent
0.9383480425504119,0.93,0.95,0.940932078746868,0.93,0.95,radiomics-3d,original_glcm_Autocorrelation,excellent
0.8904985007811672,0.87,0.91,0.8961657768021339,0.88,0.91,radiomics-3d,original_glcm_ClusterProminence,good
0.8886878553918539,0.87,0.9,0.8896437534175641,0.87,0.9,radiomics-3d,original_glcm_ClusterShade,good
0.953573408042874,0.94,0.96,0.9597508682085003,0.95,0.97,radiomics-3d,original_glcm_ClusterTendency,excellent
0.9723462780721844,0.97,0.98,0.9723372345997419,0.97,0.98,radiomics-3d,original_glcm_Contrast,excellent
0.9090170547232483,0.88,0.93,0.9345118854399446,0.92,0.94,radiomics-3d,original_glcm_Correlation,excellent
0.9742860519130043,0.97,0.98,0.9742384647678365,0.97,0.98,radiomics-3d,original_glcm_DifferenceAverage,excellent
0.9708665347602202,0.96,0.98,0.974797160159048,0.97,0.98,radiomics-3d,original_glcm_DifferenceEntropy,excellent
0.9569994909058918,0.95,0.96,0.9583508726365335,0.95,0.96,radiomics-3d,original_glcm_DifferenceVariance,excellent
0.9805649092977006,0.98,0.98,0.9805468980711007,0.98,0.98,radiomics-3d,original_glcm_Id,excellent
0.9808009602181414,0.98,0.98,0.9807840472027767,0.98,0.98,radiomics-3d,original_glcm_Idm,excellent
